"system","code","display","count"
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.86",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.49",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.18",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.44",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.26",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.15",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.15",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.40",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.22",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.37",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.20",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.31",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.23",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.45",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.36",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.08",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.24",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.92",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.19",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.25",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.43",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.95",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.88",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.23",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.96",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.32",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.11",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.53",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.83",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.43",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.28",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.41",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.07",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.84",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.09",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.06",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.01",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.58",,103
